"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2650",4410.52367675766,6.38845491838074,0.442655478463729,14.4321153339215,3.2495962952233e-47,5.50384124521971e-43
"17403",43.8674244906536,26.1883347182946,1.86937438334957,14.0091438887539,1.37047060714732e-44,1.16058303366271e-40
"2652",4731.69388236396,6.21374940198838,0.456374915688062,13.6154490275174,3.24147316324621e-42,1.83002769886337e-38
"2649",4603.75584653997,6.08818431331565,0.471362432477578,12.916142428481,3.64986332098515e-38,1.54544337668814e-34
"13502",2597.73994571547,5.65713717017234,0.476410414355707,11.8745035786487,1.60584484998266e-32,4.53303237069272e-29
"15652",1210.64635429843,8.82247078068506,0.742619101015805,11.8802098796234,1.49990290874117e-32,4.53303237069272e-29
"20022",1596.47056197423,3.62251719533375,0.305910431900786,11.841757643978,2.37424407422237e-32,5.74465312644347e-29
"13501",941.242160444364,7.40672264367268,0.635314156920766,11.6583623440276,2.08004553968331e-31,4.40371641320203e-28
"15653",758.153896792357,8.74796130105441,0.757463738117567,11.5490166206433,7.46699011561108e-31,1.40520457320117e-27
"11374",1664.04607241143,7.40511120555514,0.652900105279303,11.3418747304188,8.13821177057227e-30,1.37836892758183e-26
"8364",413.832831437167,6.28007033134431,0.559355842535098,11.2273258877246,2.99403135149767e-29,4.60999172730146e-26
"17974",2893.08713917459,3.72125128104982,0.336024506297188,11.0743449103044,1.6709770410586e-28,2.35844484536745e-25
"12198",1067.34096782661,4.26356260302109,0.395652554565729,10.7760269807958,4.46768271188644e-27,5.8207032377862e-24
"17334",196.300840682086,5.99060975157963,0.556602385488768,10.7628172421847,5.15690926049887e-27,6.23875515321923e-24
"11373",408.09785450805,5.54006723833059,0.518380762372396,10.6872546986045,1.16776456476099e-26,1.31856189555713e-23
"16002",1152.84489940429,3.32815104569436,0.313393939249736,10.6197045598966,2.41323674923359e-26,2.55456192636058e-23
"18272",478.690864909634,6.10615720207832,0.577273010626937,10.5775899611985,3.78570628011716e-26,3.77167689802025e-23
"902",196.759725826503,6.69537259453487,0.633439132023081,10.5698752351329,4.1104110206045e-26,3.86766841422102e-23
"3748",194.429506014324,4.30883264825814,0.417373768428053,10.3236786166184,5.50718440307206e-25,4.90922011762271e-22
"19979",261.967404253592,10.5442853568112,1.0344826627379,10.1928101229887,2.13501837965496e-24,1.8080403148108e-21
"898",1122.84686820522,4.71001365492348,0.464491795460866,10.1401439184738,3.66559141830257e-24,2.95638675484717e-21
"14795",820.896870011515,2.04069164100132,0.201981676187435,10.1033503608891,5.33864647346169e-24,4.11002978731912e-21
"21",3114.75301864544,4.97975044935382,0.494416586244319,10.0719728825866,7.34889299419095e-24,5.41166089750487e-21
"18650",824.808885797929,4.62598218644472,0.460031316406549,10.0557984238546,8.66164359259736e-24,6.11259406365923e-21
"14797",1562.81779396041,2.32179134596181,0.236186823405519,9.83031700280512,8.33559737425711e-23,5.64720050911171e-20
"14794",844.355855657899,2.41356812344487,0.24585496615237,9.81704035194898,9.5094455395465e-23,6.19467227320381e-20
"16553",1036.01839430551,2.7300976949544,0.278472013925624,9.80384942985175,1.08375003550801e-22,6.79832383385151e-20
"10604",140.57040198405,10.0526163353526,1.03900101356164,9.67527096137548,3.84072881203789e-22,2.3154595884824e-19
"16001",557.593916117545,3.30443852451992,0.341649132827976,9.67202374309475,3.96459396976971e-22,2.3154595884824e-19
"10607",303.447053737528,9.83289852253947,1.02815677082682,9.56361792436782,1.13710557832719e-21,6.41971906004256e-19
"5360",1391.74092351332,5.14358545605392,0.538643865467489,9.54913958147431,1.30777882484038e-21,7.14511288913597e-19
"18996",605.309405743427,2.10952261841468,0.221986666296169,9.50292489910278,2.04076073745034e-21,1.08013639406864e-18
"13289",1307.9915886073,3.05895673824283,0.322852611570278,9.47477774258909,2.67329199464369e-21,1.3720468640388e-18
"2653",536.1806217749,2.19571541986166,0.234515924513233,9.36275617282339,7.76832940724749e-21,3.86977044619267e-18
"13852",607.41809329675,2.74028630207257,0.292983270235829,9.35304701823709,8.51583641830056e-21,4.12093489762162e-18
"2647",77.2974146740141,7.12304637759,0.763017685902668,9.33536208818445,1.00646641732098e-20,4.73514491949041e-18
"901",370.79616941593,5.76805570969289,0.624588531351774,9.23496897583005,2.58360875017342e-20,1.18266436220776e-17
"17488",58.6552145300317,5.23081026800841,0.568536583354986,9.20048141342273,3.56349635692709e-20,1.58828783677037e-17
"3014",627.750306773683,3.67858630730314,0.40034354163681,9.18857412377178,3.98082929694534e-20,1.72880271288111e-17
"5295",1988.67192385444,5.17345852048166,0.569900273661926,9.07783126201944,1.10759702120025e-19,4.68984268701717e-17
"12586",1142.14115612476,1.72434302365369,0.190689940743699,9.04265330897201,1.52914227723305e-19,6.31684945109664e-17
"13159",1743.15122323073,1.66782682726362,0.18513035588931,9.00893221563739,2.08072441273238e-19,8.39076889963055e-17
"10606",162.596164172521,9.51784218445385,1.05705771437617,9.00408942199607,2.17462877964186e-19,8.56550875367308e-17
"13614",292.885928189592,2.99064432468451,0.334801929988013,8.93257791193613,4.161950798971e-19,1.60206728823118e-16
"10918",4125.59631874501,2.94906871392612,0.332041961254743,8.88161454890212,6.58968304444093e-19,2.48021026052658e-16
"15722",369.069464057103,2.39519002439905,0.270112130254163,8.86739156122047,7.4879236745359e-19,2.75702094077423e-16
"2999",435.005965062823,4.48516827773794,0.506166117015112,8.86105989114248,7.92572716898639e-19,2.85612853321537e-16
"10320",171.928750245824,4.39606296972004,0.496932108382639,8.84640556640196,9.03833468699533e-19,3.18921405403416e-16
"8828",288.069157198185,5.62340421844812,0.638094851090805,8.81280300073739,1.22054927433664e-18,4.21886593049788e-16
"18004",77.7068826322813,3.59724835963481,0.410135493414011,8.77087795960046,1.7727850928134e-18,6.0051322233961e-16
"8744",607.199125759573,4.86373328212014,0.557421096621884,8.72542017443478,2.65194115957585e-18,8.80704459210513e-16
"7923",256.770854767023,2.65222843332959,0.30409071003455,8.72183314323628,2.73733503987151e-18,8.91581607121226e-16
"7584",100.198954144434,4.13399730323169,0.475015778264464,8.70286313085392,3.23614121682634e-18,1.03416082621486e-15
"17404",42.205031679169,25.6964508969988,2.9570533508847,8.68988410009946,3.62809427072966e-18,1.13794504932126e-15
"6077",5094.42936904558,3.15763921138665,0.366197188755156,8.62278386713091,6.53457198971575e-18,2.01229174163301e-15
"12347",3716.9655393026,1.85880006778508,0.216849823773771,8.57183111997489,1.01852379450279e-17,3.08048884062388e-15
"861",604.315667264176,5.74926427946756,0.671286611745036,8.5645448291038,1.08503613118306e-17,3.22408016734165e-15
"15034",134.982904151474,4.9157295102973,0.575646083219074,8.53949962242082,1.34804301672276e-17,3.93651803004024e-15
"1530",44.6389234818345,25.6284096859084,3.00954587133966,8.51570661539717,1.65577541345786e-17,4.7531979962264e-15
"1917",951.74704305935,3.6015188360105,0.424156554698254,8.49101303779834,2.04843586772212e-17,5.78239304860159e-15
"3615",55.5279605951165,4.60294707488833,0.545485825813088,8.43825239276803,3.22117475768735e-17,8.94377653622141e-15
"13214",54.6463849022944,6.24394300629328,0.744535161644882,8.38636417452562,5.0140843193457e-17,1.36973461478642e-14
"6013",694.672691738769,2.13333826393938,0.255402876416973,8.35283569969067,6.66433219406364e-17,1.79164752969613e-14
"312",39.3885648142664,25.1071932102469,3.00956303420682,8.34247129064172,7.27538349509886e-17,1.92536203525765e-14
"15723",604.934625745571,3.59297458287899,0.435834150344281,8.24390328302813,1.66681903685812e-16,4.3432175426563e-14
"19934",593.889319832363,4.12329642684521,0.501060725668399,8.22913514393863,1.88569937488886e-16,4.83910459280192e-14
"15128",314.504242949826,4.42567747782993,0.538262922899127,8.22214811674726,1.99890102957442e-16,5.05304279670179e-14
"9153",1452.93717645851,1.21535685785003,0.148299362929427,8.19529385590413,2.49981698259916e-16,6.22638238739441e-14
"3401",78.4304688489108,5.08380750891781,0.62199141800203,8.17343674169668,2.99726546261399e-16,7.35720074497003e-14
"3099",626.974255098701,1.90013678416068,0.233117005202074,8.15100032069122,3.60926163040897e-16,8.60986820200517e-14
"4131",239.009240060747,1.50318109088809,0.184380621496834,8.15259802621884,3.56188018194966e-16,8.60986820200517e-14
"7273",512.4943006397,2.74160435094975,0.336537570794671,8.14650306197898,3.74599273036668e-16,8.8119276214195e-14
"11651",991.380138034066,1.49576971135009,0.183884845211362,8.13427397799316,4.14414368188384e-16,9.61498103288583e-14
"14695",1024.68236790775,2.40697590705028,0.297327297054671,8.0953747970463,5.70883044552729e-16,1.3066278548094e-13
"5293",1863.54621128725,2.94500870510591,0.363962172048088,8.09152415080326,5.892270655326e-16,1.33063184119009e-13
"10734",1368.52801051236,2.38769367500483,0.296529706912611,8.05212300603832,8.13700655375181e-16,1.81337473685387e-13
"16888",11.178551638199,24.2068481527644,3.01005885980524,8.04198498441676,8.83947256705885e-16,1.94433956971787e-13
"14290",834.688772562813,2.77248709988177,0.345459768908855,8.02549920252291,1.01113913187278e-15,2.19559788160631e-13
"7411",8.92727134731775,23.9959492919722,3.0101587851812,7.97165565155653,1.56562541281731e-15,3.31462470211084e-13
"13723",8.85198293467441,23.9962741156848,3.01016845691684,7.97173794727187,1.56458296262664e-15,3.31462470211084e-13
"14263",369.196683820958,2.08251351168195,0.261998472606798,7.94857119189143,1.88674902549371e-15,3.94516891910951e-13
"19334",199.9556880584,2.09255044223022,0.26467123849599,7.90622530094791,2.65310820286456e-15,5.47996263803866e-13
"2284",528.762229116114,2.51092055952223,0.320848697215461,7.82587113899376,5.04153538579619e-15,1.01652958130036e-12
"4939",33.7343753870967,2.6360131812664,0.336771442077066,7.82730615460908,4.98434298592655e-15,1.01652958130036e-12
"19429",85.36505058558,4.56131829182866,0.583687145695747,7.81466291568172,5.51103122876389e-15,1.09812159907734e-12
"13699",6.74850379654852,23.4139033076575,3.01040572521902,7.77765704852096,7.38800255595265e-15,1.45500696849035e-12
"5615",374.523117469363,5.6448306967146,0.729038214634801,7.74284609969628,9.7215688703579e-15,1.89257714893393e-12
"15772",820.901523551842,1.60905589959895,0.207985515208499,7.73638442074164,1.02283881594958e-14,1.96861602565206e-12
"16546",45.4508295191019,3.56650497171741,0.46268692902136,7.70824665235521,1.27558039077455e-14,2.42747248073579e-12
"5294",3225.69917614211,2.61235371159795,0.339091898543558,7.70396969912385,1.31903138503087e-14,2.48227050758532e-12
"20329",470.374209715488,1.28742687283817,0.167528462939051,7.68482471725743,1.53206609440193e-14,2.85149488361379e-12
"9753",701.797121968053,2.53728062269807,0.330483733701928,7.6774750583837,1.62254824395433e-14,2.98707604433201e-12
"1528",91.6146606721866,7.04732107058422,0.918489337971049,7.67273040550674,1.68373137810808e-14,3.06638261838888e-12
"8714",4.27561121290001,23.0239538412846,3.0109875404436,7.64664533878893,2.06290274003159e-14,3.71695571360798e-12
"483",497.554060891235,1.51108327666013,0.19779792027641,7.63953066113377,2.18014986451127e-14,3.88686297423446e-12
"17420",267.346719497693,8.76390129468863,1.14844152452611,7.63112540562736,2.32713165247742e-14,4.10569049979272e-12
"2376",252.75783883134,1.07614665813522,0.141150860506409,7.62408854097177,2.45764644360775e-14,4.29125338302933e-12
"1600",52.7259857090307,6.2884894989805,0.828147739186783,7.5934391913641,3.11524415698451e-14,5.38396839661701e-12
"4940",999.020655083721,1.82255972622842,0.240101240360976,7.59079679675256,3.17944229230388e-14,5.43941556613645e-12
"15424",787.346370586317,1.54476860721108,0.204321388586973,7.56048408781013,4.01572010991944e-14,6.80142515017056e-12
"7218",130.073946150045,2.31070464146284,0.305892472960206,7.55397679158794,4.22165437838478e-14,7.07942180264387e-12
"8832",536.787473850132,2.80579920469004,0.372463781637911,7.53307930331247,4.95574922463627e-14,8.22897300173182e-12
"17413",1193.77501715581,1.93736602247612,0.25771481872064,7.51748010492249,5.58420529046287e-14,9.18249368976405e-12
"3368",54.1882204422453,3.69994149419829,0.49799323991501,7.4297022482268,1.08842407049565e-13,1.77256139249854e-11
"5850",49.9141160905231,4.26810945574568,0.575082775719426,7.42173063765698,1.15599733514451e-13,1.86467874908025e-11
"15029",1886.92930906863,2.48088897899005,0.336546134917888,7.37161631523518,1.68571593078457e-13,2.67724405837883e-11
"16424",2299.54343347088,3.15640836620027,0.42820989408301,7.37117103041152,1.69135687693532e-13,2.67724405837883e-11
"14954",424.850060212234,1.61027450301425,0.21857089260965,7.36728703345723,1.741352970089e-13,2.73086067170346e-11
"14233",420.602889121595,0.876294092562829,0.119145066272071,7.35485001587718,1.91141614923037e-13,2.9700601210564e-11
"13027",427.231778969603,2.21774301784473,0.301913495041373,7.34562400909179,2.04801344672666e-13,3.15338215883722e-11
"13905",555.0516351551,2.36745217954343,0.322880773384098,7.33227982183727,2.26270026060962e-13,3.45255444269776e-11
"16552",52.9553375620721,2.92744447186925,0.399543815713024,7.32696729805453,2.35419240376638e-13,3.56008542344565e-11
"13855",87.6924004816889,4.44120084082156,0.607022354386123,7.31637114964722,2.54766413636873e-13,3.81856526351125e-11
"13922",74.3667584816892,7.44543220161124,1.01816315714453,7.31261207927828,2.61998579593279e-13,3.89251749348365e-11
"11557",1048.25601918418,1.79192374869856,0.245707775122523,7.29290616792655,3.03339365486303e-13,4.46752942021001e-11
